date,prevision,reel,effectif,taux_grevistes,nos,ind,greves_manquantes,menu,ferie,veille_ferie,retour_ferie,vacances,retour_vacances,veille_vacances,inc_grippe,inc_gastro,inc_varicelle,fete_musulmane,ramadan,fete_chretienne,fete_juive,jour,semaine,mois,annee_scolaire,repas_noel,gaspillage_volume,gaspillage_pourcentage,porc,viande,poisson,4_premiers_jours,4_derniers_jours,Entrée,Plat,Accompagnement,Fromage,Dessert,Entrée Food Type,Plat Food Type,Accompagnement Food Type,Fromage Food Type,Dessert Food Type,Entrée_Bio,Plat_Bio,Accompagnement_Bio,Fromage_Bio,Dessert_Bio,affluence_reelle,affluence_reelle_predite,gaspillage_predit,gaspillage_predit_pourcentage
2011-02-07,12268.0,11447.0,17373.0,0.0,0.0,0.0,0.0,"['Tarte au fromage', 'poulet confit', 'Haricots verts', 'Pomme']",0.0,0.0,0.0,0.0,0.0,0.0,3661,5813,350,0.0,0.0,0.0,0.0,Lundi,6,Fevrier,2010-2011,0.0,821.0,6.692207368764265,0,1,0,0.0,0.0,,"['Tarte au fromage', 'poulet confit']",['Haricots verts'],,['Pomme'],,"['Fromage', 'Volaille']",['legumes autres'],,['fruits autre'],0,0,0,0,0,11447.0,11425.135833333337,-21.86416666666264,-0.1913689866414802
2011-02-08,12515.0,11945.0,17373.0,0.0,0.0,0.0,0.0,"['Concombres vgte', 'Toulouse grillée', 'saucisse de volaille', 'haricots blanc à la tomate', 'blanc à la neige', 'crème anglaise']",0.0,0.0,0.0,0.0,0.0,0.0,3661,5813,350,0.0,0.0,0.0,0.0,Mardi,6,Fevrier,2010-2011,0.0,570.0,4.554534558529764,1,1,0,0.0,0.0,['Concombres vgte'],"['Toulouse grillée', 'saucisse de volaille']","['haricots blanc à la tomate', 'blanc à la neige']",,['crème anglaise'],['legumes autres'],"['Saucisse', 'Volaille']","['Legumineuse autre', 'Legumineuse autre']",,['Lait'],0,0,0,0,0,11945.0,11911.031666666668,-33.96833333333234,-0.2851838050971991
2011-02-10,9750.0,6991.0,17373.0,6.8,4.0,0.0,0.0,"['Carottes râpées', 'Coecur de boeuf à la dijonnaise', 'Pomme noisettes', 'Suisses aro']",0.0,0.0,0.0,0.0,0.0,0.0,3661,5813,350,0.0,0.0,0.0,0.0,Jeudi,6,Fevrier,2010-2011,0.0,2759.0,28.297435897435896,0,1,0,0.0,0.0,['Carottes râpées'],['Coecur de boeuf à la dijonnaise'],,['Suisses aro'],['Pomme noisettes'],['legumes racines'],['Boeuf'],,['Fromage'],['fruits autre'],0,0,0,0,0,6991.0,8218.963166666668,1227.9631666666683,14.940609195657077
2011-02-11,12842.0,12225.0,17373.0,6.8,4.0,0.0,0.0,"['salade de pomme de terre', 'tomate / concombre', 'poisson meunière', 'Brocolis beurre Provençal', 'St Bricet', 'Mirabelles au sirop']",0.0,0.0,0.0,0.0,0.0,0.0,3661,5813,350,0.0,0.0,0.0,0.0,Vendredi,6,Fevrier,2010-2011,0.0,617.0,4.804547578258839,0,0,0,0.0,0.0,"['salade de pomme de terre', 'tomate / concombre']",['poisson meunière'],['Brocolis beurre Provençal'],['St Bricet'],['Mirabelles au sirop'],"['pomme de terre', 'legumes autres']",['Poissons'],['type chou'],['Fromage'],['Bais et Raisins'],0,0,0,0,0,12225.0,11021.909,-1203.0910000000003,-10.915450309016347
2011-02-14,12211.0,11617.0,17373.0,0.0,0.0,0.0,0.0,"['Salade coleslaw', 'Blanquette de veau', 'pomme vapeur', 'Yaourt aromatisé']",0.0,0.0,0.0,0.0,0.0,0.0,1267,3449,845,0.0,0.0,0.0,0.0,Lundi,7,Fevrier,2010-2011,0.0,594.0,4.864466464663009,0,1,0,0.0,0.0,['Salade coleslaw'],['Blanquette de veau'],,['Yaourt aromatisé'],['pomme vapeur'],['legumes autres'],['Veau'],,['Lait'],['fruits autre'],0,0,0,0,0,11617.0,11546.28366666667,-70.71633333333011,-0.6124596915757693
2011-02-15,12503.0,11979.0,17373.0,0.0,0.0,0.0,0.0,"['salade de mâche à la mimolette', 'rôti de porc et  dinde', 'Petits pois', 'crêpes', 'confiture']",0.0,0.0,0.0,0.0,0.0,0.0,1267,3449,845,1.0,0.0,0.0,0.0,Mardi,7,Fevrier,2010-2011,0.0,524.0,4.190994161401264,1,1,0,0.0,0.0,['salade de mâche à la mimolette'],"['rôti de porc et  dinde', 'crêpes']",['Petits pois'],,['confiture'],['legumes autres'],"['Porc', 'Blé Seigle']",['Legumineuse autre'],,['fruits autre'],0,0,0,0,0,11979.0,11918.839666666665,-60.160333333335075,-0.5047499170710807
2011-02-17,12583.0,11963.0,17373.0,0.0,0.0,0.0,0.0,"['Potage tomate/vermicelle', 'cordon bleu de volaille', 'Haricots beurre et plats', 'st paulin', 'Banane']",0.0,0.0,0.0,0.0,0.0,0.0,1267,3449,845,0.0,0.0,0.0,0.0,Jeudi,7,Fevrier,2010-2011,0.0,620.0,4.927282841929587,1,1,0,0.0,0.0,['Potage tomate/vermicelle'],['cordon bleu de volaille'],['Haricots beurre et plats'],['st paulin'],['Banane'],['Tomates'],['Volaille'],['Legumineuse autre'],['Fromage'],['Banane'],0,0,0,0,0,11963.0,12029.623500000003,66.62350000000333,0.5538286381116027
2011-02-18,12783.0,12271.0,17373.0,0.0,0.0,0.0,0.0,"['Salade de lentilles', 'Lentilles, tomates, maïs', 'filet de lieu  au beurre blanc', 'Carottes', 'Crème de gruyère', 'Kiwi']",0.0,0.0,0.0,0.0,0.0,0.0,1267,3449,845,0.0,0.0,0.0,0.0,Vendredi,7,Fevrier,2010-2011,0.0,512.0,4.005319565047328,0,0,0,0.0,0.0,"['Salade de lentilles', 'tomates']","['filet de lieu  au beurre blanc', 'Crème de gruyère']","['Lentilles', 'maïs', 'Carottes']",,['Kiwi'],"['Legumineuse autre', 'Tomates']","['Poissons', 'Fromage']","['Legumineuse autre', 'Mais', 'legumes racines']",,['fruits autre'],0,0,0,0,0,12271.0,12265.847666666663,-5.152333333337083,-0.04200552194479738
2011-02-21,11990.0,11500.0,17373.0,0.0,0.0,0.0,0.0,"['Endives aux pommes', 'sauté de boeuf AUX POIVRES', 'Pâtes', 'Liégeois']",0.0,0.0,0.0,0.0,0.0,0.0,373,3238,107,0.0,0.0,0.0,0.0,Lundi,8,Fevrier,2010-2011,0.0,490.0,4.08673894912427,0,1,0,0.0,0.0,['Endives aux pommes'],['sauté de boeuf AUX POIVRES'],['Pâtes'],,['Liégeois'],['legumes autres'],['Boeuf'],['Blé Seigle'],,['Lait'],0,0,0,0,0,11500.0,11495.669500000002,-4.33049999999821,-0.03767070721716738
2011-02-22,12604.0,12199.0,17373.0,0.0,0.0,0.0,0.0,"['taboulé', 'poisson pané/citron', 'choux fleurs agro', 'Tomme bio', 'Clémentines']",0.0,0.0,0.0,0.0,0.0,0.0,373,3238,107,0.0,0.0,0.0,0.0,Mardi,8,Fevrier,2010-2011,0.0,405.0,3.213265629958743,0,0,0,0.0,0.0,['taboulé'],['poisson pané/citron'],['choux fleurs agro'],['Tomme bio'],['Clémentines'],['legumes autres'],['Poissons'],['type chou'],['Fromage'],['agrumes'],0,0,0,1,0,12199.0,12205.061333333328,6.061333333327639,0.049662456974087374
